,screen_name,created_at
0,DisneyPlusCA,2018-06-22 17:47:09+00:00
1,natgeodocs,2019-07-02 17:19:03+00:00
2,awkwafina,2012-06-11 04:19:24+00:00
3,DisneyRaya,2019-08-08 00:25:10+00:00
4,OfficialBPeters,2010-09-13 19:51:15+00:00
5,paolomontalban,2009-04-07 22:06:03+00:00
6,WhoopiGoldberg,2011-04-19 16:00:28+00:00
7,RnH_Org,2009-12-18 14:57:06+00:00
8,RHCinderella,2011-06-02 22:27:43+00:00
9,4everBrandy,2009-03-29 10:11:01+00:00
10,OfficialKat,2009-03-10 02:26:45+00:00
11,thelaurengraham,2012-11-27 18:15:28+00:00
12,TeyonahParris,2011-08-16 16:59:16+00:00
13,PixarSoul,2019-06-18 00:30:17+00:00
14,reghud,2009-05-03 04:00:14+00:00
15,MrPeytonReed,2012-11-17 09:05:48+00:00
16,iamjamiefoxx,2010-04-30 01:00:33+00:00
17,corinnefoxx,2009-04-18 18:31:14+00:00
18,falconandwinter,2019-11-04 20:28:02+00:00
19,LokiOfficial,2019-07-21 01:18:36+00:00
20,JillianSpaeder,2015-03-18 20:09:19+00:00
21,GodmotheredFilm,2020-11-04 18:08:34+00:00
22,goodstockmicah,2019-08-12 14:28:25+00:00
23,PFischler,2012-10-13 08:26:08+00:00
24,JakeMcDorman,2011-08-06 22:49:15+00:00
25,halfadams,2009-05-15 21:50:56+00:00
26,colinodonoghue1,2011-05-25 23:06:45+00:00
27,eloise_mumford,2011-05-10 00:36:43+00:00
28,wandavision,2019-08-16 21:12:53+00:00
29,disneyplusla,2018-06-25 21:36:22+00:00
30,DisneyPlusBR,2018-06-25 22:14:11+00:00
31,GoferScooter,2015-10-26 22:05:34+00:00
32,IvanMovie,2020-03-05 18:20:19+00:00
33,HamiltonMusical,2014-11-06 06:33:27+00:00
34,TheJakeShort,2010-05-23 22:46:13+00:00
35,chinamcclain,2010-09-28 00:23:48+00:00
36,DisneyPlusJP,2018-06-25 21:10:57+00:00
37,taylorswift13,2008-12-06 10:10:54+00:00
38,madisoniseman,2011-02-22 01:11:03+00:00
39,SabrinaAnnLynn,2009-08-07 20:46:30+00:00
40,finargus,2011-10-25 03:16:48+00:00
41,leeunkrich,2008-02-08 05:52:43+00:00
42,Disneynature,2009-04-20 09:55:36+00:00
43,octaviaspencer,2009-09-16 15:23:24+00:00
44,Raini_Rodriguez,2010-02-22 00:42:20+00:00
45,CalumWorthy,2009-09-04 20:13:18+00:00
46,lauramarano,2012-01-18 02:18:41+00:00
47,RossLynch,2010-06-11 17:23:02+00:00
48,Twitter,2007-02-20 14:35:54+00:00
49,DocBrownLloyd,2018-04-04 04:45:24+00:00
