created_at,text,entities
2021-02-23 17:59:39+00:00,Buckle up for our favorite chase sequences! All of these and more are now s̶p̶e̶e̶d̶i̶n̶g̶ streaming on #DisneyPlus… https://t.co/BsN2otdf5l,"{'hashtags': [{'text': 'DisneyPlus', 'indices': [104, 115]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BsN2otdf5l', 'expanded_url': 'https://twitter.com/i/web/status/1364273733238542337', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2021-02-23 11:00:00+00:00,"More content, more control. Determine the content settings for your family members using new parental controls on… https://t.co/6nztVaSaDH","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/6nztVaSaDH', 'expanded_url': 'https://twitter.com/i/web/status/1364168123151224833', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}"
2021-02-23 04:09:40+00:00,A PSA (Parent Service Announcement) from Stewie Griffin: #DisneyPlusStar is streaming tomorrow in select internatio… https://t.co/BKYUQBSkWt,"{'hashtags': [{'text': 'DisneyPlusStar', 'indices': [57, 72]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BKYUQBSkWt', 'expanded_url': 'https://twitter.com/i/web/status/1364064859281743873', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2021-02-22 18:00:01+00:00,"It was her all along 🐇

The seventh episode of @MarvelStudios' #WandaVision is now streaming on #DisneyPlus! https://t.co/Ph0iFydljh","{'hashtags': [{'text': 'WandaVision', 'indices': [63, 75]}, {'text': 'DisneyPlus', 'indices': [96, 107]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MarvelStudios', 'name': 'Marvel Studios', 'id': 750751206427860992, 'id_str': '750751206427860992', 'indices': [47, 61]}], 'urls': [], 'media': [{'id': 1363887317283344384, 'id_str': '1363887317283344384', 'indices': [109, 132], 'media_url': 'http://pbs.twimg.com/media/Eu2BourVIAE04l2.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eu2BourVIAE04l2.jpg', 'url': 'https://t.co/Ph0iFydljh', 'display_url': 'pic.twitter.com/Ph0iFydljh', 'expanded_url': 'https://twitter.com/disneyplus/status/1363911438000128002/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}, 'source_user_id': 1162472272214581250, 'source_user_id_str': '1162472272214581250'}]}"
2021-02-22 17:00:22+00:00,This signal has no competition 🖥️ The seventh episode of @MarvelStudios' #WandaVision is now streaming on… https://t.co/n8T1wRJ6kf,"{'hashtags': [{'text': 'WandaVision', 'indices': [73, 85]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MarvelStudios', 'name': 'Marvel Studios', 'id': 750751206427860992, 'id_str': '750751206427860992', 'indices': [57, 71]}], 'urls': [{'url': 'https://t.co/n8T1wRJ6kf', 'expanded_url': 'https://twitter.com/i/web/status/1363896427689123842', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [107, 130]}]}"
2021-02-22 03:47:06+00:00,"A work of mayhem—er, art! 🤩 All five seasons of #TheMuppetShow are now streaming. https://t.co/QBzbC4dGHX","{'hashtags': [{'text': 'TheMuppetShow', 'indices': [48, 62]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1363696313141846019, 'id_str': '1363696313141846019', 'indices': [82, 105], 'media_url': 'http://pbs.twimg.com/media/EuzSklZUYAM8wFu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EuzSklZUYAM8wFu.jpg', 'url': 'https://t.co/QBzbC4dGHX', 'display_url': 'pic.twitter.com/QBzbC4dGHX', 'expanded_url': 'https://twitter.com/disneyplus/status/1363696793733664768/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 960, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 1500, 'resize': 'fit'}}}]}"
2021-02-21 17:25:26+00:00,"It’s “Impossible” to listen to this song too many times. 🎶💙

Rodgers &amp; Hammerstein’s Cinderella is now streaming on… https://t.co/aIyZ6K9bd3","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/aIyZ6K9bd3', 'expanded_url': 'https://twitter.com/i/web/status/1363540347234623488', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}"
2021-02-21 02:06:39+00:00,"Imagine forgetting @MissPiggy in a Muppets roll call… good luck, Kermit. 

Comment ""Here"" if you're watching… https://t.co/f6K83dSl0M","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MissPiggy', 'name': 'Miss Piggy', 'id': 785739140, 'id_str': '785739140', 'indices': [19, 29]}], 'urls': [{'url': 'https://t.co/f6K83dSl0M', 'expanded_url': 'https://twitter.com/i/web/status/1363309127108161539', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [110, 133]}]}"
2021-02-20 20:53:49+00:00,@alydenisof Same 😱‼️🙌,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'alydenisof', 'name': 'alyson hannigan', 'id': 30614676, 'id_str': '30614676', 'indices': [0, 11]}], 'urls': []}"
2021-02-20 19:46:07+00:00,@rejectedjokes @IGN @DisneyStudios Sir Slobber and Ulysses would be such a dynamic duo 🐶🐿💥💥,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rejectedjokes', 'name': 'Ben Schwartz', 'id': 27022632, 'id_str': '27022632', 'indices': [0, 14]}, {'screen_name': 'IGN', 'name': 'IGN', 'id': 18927441, 'id_str': '18927441', 'indices': [15, 19]}, {'screen_name': 'DisneyStudios', 'name': 'Walt Disney Studios', 'id': 36947388, 'id_str': '36947388', 'indices': [20, 34]}], 'urls': []}"
2021-02-20 18:20:30+00:00,@IGN @DisneyStudios @rejectedjokes Look at Hooch's squishy face 😍 https://t.co/nNLTenBdWN,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'IGN', 'name': 'IGN', 'id': 18927441, 'id_str': '18927441', 'indices': [0, 4]}, {'screen_name': 'DisneyStudios', 'name': 'Walt Disney Studios', 'id': 36947388, 'id_str': '36947388', 'indices': [5, 19]}, {'screen_name': 'rejectedjokes', 'name': 'Ben Schwartz', 'id': 27022632, 'id_str': '27022632', 'indices': [20, 34]}], 'urls': [], 'media': [{'id': 1363191733995986946, 'id_str': '1363191733995986946', 'indices': [66, 89], 'media_url': 'http://pbs.twimg.com/media/EusHqNmUYAI1VqP.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EusHqNmUYAI1VqP.jpg', 'url': 'https://t.co/nNLTenBdWN', 'display_url': 'pic.twitter.com/nNLTenBdWN', 'expanded_url': 'https://twitter.com/disneyplus/status/1363191814811869187/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}}}]}"
