created_at,entities
2021-02-09 18:50:30+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mindykaling', 'name': 'Mindy Kaling', 'id': 23544596, 'id_str': '23544596', 'indices': [0, 12]}], 'urls': [], 'media': [{'id': 1359213048406310914, 'id_str': '1359213048406310914', 'indices': [49, 72], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EtzlEOxVgAI7l9U.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EtzlEOxVgAI7l9U.jpg', 'url': 'https://t.co/GnOLajT8Af', 'display_url': 'pic.twitter.com/GnOLajT8Af', 'expanded_url': 'https://twitter.com/hulu/status/1359213098142363650/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 500, 'h': 200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 500, 'h': 200, 'resize': 'fit'}, 'small': {'w': 500, 'h': 200, 'resize': 'fit'}}}]}"
2021-02-09 19:11:34+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FXNetworks', 'name': 'FX Networks', 'id': 16421962, 'id_str': '16421962', 'indices': [0, 11]}, {'screen_name': 'CakeFX', 'name': 'Cake FX', 'id': 1164954576174243840, 'id_str': '1164954576174243840', 'indices': [12, 19]}], 'urls': []}"
2021-02-09 19:11:46+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MakwenaMatjila', 'name': 'highly unimpressed', 'id': 1043888965265313792, 'id_str': '1043888965265313792', 'indices': [0, 15]}], 'urls': []}"
2021-02-09 19:11:59+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Jessmocha_', 'name': 'Jess Mocha', 'id': 805077365948825600, 'id_str': '805077365948825600', 'indices': [0, 11]}], 'urls': []}"
2021-02-09 19:12:11+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bigkiddman', 'name': 'Dustin Garbaciak', 'id': 393895339, 'id_str': '393895339', 'indices': [0, 11]}], 'urls': []}"
2021-02-09 19:12:25+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kristinamcadam', 'name': 'Kristina McAdam', 'id': 249444160, 'id_str': '249444160', 'indices': [0, 15]}], 'urls': []}"
2021-02-09 19:12:40+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'elainamorally', 'name': 'nodramamama.', 'id': 31148578, 'id_str': '31148578', 'indices': [0, 14]}], 'urls': []}"
2021-02-09 19:12:54+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PoppasGlock23', 'name': '333\U0001fa90', 'id': 1117437090, 'id_str': '1117437090', 'indices': [0, 14]}], 'urls': []}"
2021-02-09 19:13:14+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ArtplugAi', 'name': 'Artrepreneur🧡', 'id': 1309672257548148737, 'id_str': '1309672257548148737', 'indices': [0, 10]}], 'urls': []}"
2021-02-09 19:13:40+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yayaxtonye', 'name': 'Tonyé 🥂', 'id': 60762417, 'id_str': '60762417', 'indices': [0, 11]}], 'urls': [], 'media': [{'id': 1359218895324733440, 'id_str': '1359218895324733440', 'indices': [12, 35], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EtzqYkPUYAA196l.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EtzqYkPUYAA196l.jpg', 'url': 'https://t.co/GXsbcDaZKk', 'display_url': 'pic.twitter.com/GXsbcDaZKk', 'expanded_url': 'https://twitter.com/hulu/status/1359218931169329153/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 600, 'h': 450, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 600, 'h': 450, 'resize': 'fit'}, 'medium': {'w': 600, 'h': 450, 'resize': 'fit'}}}]}"
2021-02-09 19:13:56+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_digoddess', 'name': 'Blossom🌸', 'id': 823682012166942720, 'id_str': '823682012166942720', 'indices': [0, 11]}], 'urls': []}"
2021-02-09 19:14:18+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_chiinnaa', 'name': 'primadonna💅🏾', 'id': 837833886876983297, 'id_str': '837833886876983297', 'indices': [0, 10]}], 'urls': []}"
2021-02-09 19:14:31+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MissKei2thecity', 'name': 'kei💋', 'id': 1322753092362883073, 'id_str': '1322753092362883073', 'indices': [0, 16]}], 'urls': []}"
2021-02-09 19:14:47+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '__AshlynB', 'name': 'tay', 'id': 240522047, 'id_str': '240522047', 'indices': [0, 10]}], 'urls': []}"
2021-02-09 19:14:59+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}"
2021-02-09 19:15:05+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rondreaaa', 'name': 'Dre Dre.', 'id': 1328822053747691521, 'id_str': '1328822053747691521', 'indices': [0, 10]}], 'urls': []}"
