screen_name,created_at
kikujufanclub,11/21/2017 19:51
wangyibo_bar,2/5/2020 3:27
luking0420,11/30/2014 1:58
XingPark,2/21/2012 17:58
huyitian_intl,11/29/2017 12:43
darrenchenHQ,8/27/2018 17:11
KUN_Fanclub,7/28/2018 0:00
qingchunyouni_,11/29/2018 6:58
kikoxxx,12/17/2009 18:56
angelababyct,12/11/2009 4:11
KrisWu,10/8/2017 7:54
Baidu_Inc,1/15/2017 1:21
Nasdaq,1/5/2009 18:26
vipandbbc,4/12/2017 8:37
CCTV,7/14/2009 8:29
idol2018_qiyi,11/1/2017 4:00
TimmyXu_Studio,12/4/2016 19:01
Williamchanfans,1/2/2017 5:19
LuhanBar_China,1/23/2015 5:53
