created_at,text,entities
2021-02-09 23:56:17+00:00,@NetflixMY Siapa kerja jadi translator untuk Anime dekat Netflix? Hire la orang yg Japanese dia ok sikit. Cakap Jep… https://t.co/mcgy0bHXdg,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NetflixMY', 'name': 'Netflix Malaysia', 'id': 4444965133, 'id_str': '4444965133', 'indices': [0, 10]}], 'urls': [{'url': 'https://t.co/mcgy0bHXdg', 'expanded_url': 'https://twitter.com/i/web/status/1359290054246506498', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2021-02-09 23:51:25+00:00,@NetflixMY Lesssgoooo minnnnn!!,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NetflixMY', 'name': 'Netflix Malaysia', 'id': 4444965133, 'id_str': '4444965133', 'indices': [0, 10]}], 'urls': []}"
2021-02-09 23:50:28+00:00,@NetflixMY min dah tgk Ying Yang Master ke belum?? BEST JGK TAUUU 🥺🥺,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NetflixMY', 'name': 'Netflix Malaysia', 'id': 4444965133, 'id_str': '4444965133', 'indices': [0, 10]}], 'urls': []}"
2021-02-09 23:49:51+00:00,@NetflixMY Nak tgk.. Tp turn off bila tgk duration 2 jam lebih...,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NetflixMY', 'name': 'Netflix Malaysia', 'id': 4444965133, 'id_str': '4444965133', 'indices': [0, 10]}], 'urls': []}"
2021-02-09 23:49:29+00:00,@NetflixMY 😍,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NetflixMY', 'name': 'Netflix Malaysia', 'id': 4444965133, 'id_str': '4444965133', 'indices': [0, 10]}], 'urls': []}"
2021-02-09 23:46:57+00:00,"@NetflixMY Tribute to Dad &amp; their little girls, amik bawang , perah Kat mata. Anyway, aura Cowboy Bebop ni","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NetflixMY', 'name': 'Netflix Malaysia', 'id': 4444965133, 'id_str': '4444965133', 'indices': [0, 10]}], 'urls': []}"
2021-02-09 23:39:37+00:00,@NetflixMY Ada Kim Tae Ri ke.. Eh kenalah tengok,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NetflixMY', 'name': 'Netflix Malaysia', 'id': 4444965133, 'id_str': '4444965133', 'indices': [0, 10]}], 'urls': []}"
2021-02-09 23:39:28+00:00,"Perkembangan yang baik, tahniah @NetflixMY ✨ https://t.co/OlgI1jYunJ","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NetflixMY', 'name': 'Netflix Malaysia', 'id': 4444965133, 'id_str': '4444965133', 'indices': [32, 42]}], 'urls': [{'url': 'https://t.co/OlgI1jYunJ', 'expanded_url': 'https://twitter.com/NetflixMY/status/1359109793139617793', 'display_url': 'twitter.com/NetflixMY/stat…', 'indices': [45, 68]}]}"
2021-02-09 23:38:48+00:00,@NetflixMY Bagus @NetflixMY !saya belum tengok lagi cerita tu. No komen.,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NetflixMY', 'name': 'Netflix Malaysia', 'id': 4444965133, 'id_str': '4444965133', 'indices': [0, 10]}, {'screen_name': 'NetflixMY', 'name': 'Netflix Malaysia', 'id': 4444965133, 'id_str': '4444965133', 'indices': [17, 27]}], 'urls': []}"
2021-02-09 23:30:59+00:00,@NetflixMY @noturhomieee @yyyynnnnff perangai ko la ni,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NetflixMY', 'name': 'Netflix Malaysia', 'id': 4444965133, 'id_str': '4444965133', 'indices': [0, 10]}, {'screen_name': 'noturhomieee', 'name': 'bæl', 'id': 1166371532827967488, 'id_str': '1166371532827967488', 'indices': [11, 24]}, {'screen_name': 'yyyynnnnff', 'name': 'y', 'id': 863665514354065410, 'id_str': '863665514354065410', 'indices': [25, 36]}], 'urls': []}"
