created_at,text,entities
2021-02-17 08:30:00+00:00,"Use this tweet as your Top 5 checklist - copy + paste this in the replies, and ✅ the ones you’ve seen!

◻️ To All T… https://t.co/IGi4FGG1k7","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/IGi4FGG1k7', 'expanded_url': 'https://twitter.com/i/web/status/1361956048974860289', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2021-02-17 07:20:20+00:00,(Btw… Filem Yin-Yang Master ni dan Yin-Yang Master: Dream of Eternity lain),"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}"
2021-02-17 07:00:00+00:00,"Master Qingming tak letih ke? Mana-mana pergi pun jumpa raksasa pulak. The Yin-Yang Master, akan ditayangkan. https://t.co/gY28Dljn5C","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1361930022416572416, 'id_str': '1361930022416572416', 'indices': [110, 133], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1361930022416572416/img/mMX-vraNq0BBSAfm.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1361930022416572416/img/mMX-vraNq0BBSAfm.jpg', 'url': 'https://t.co/gY28Dljn5C', 'display_url': 'pic.twitter.com/gY28Dljn5C', 'expanded_url': 'https://twitter.com/NetflixMY/status/1361933400655814656/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}"
2021-02-17 05:00:00+00:00,"“You’re totally relationship goals.”

She’s a letter-writing queen, but what would Lara Jean Song Covey tweet if sh… https://t.co/Qe1D5LeJ6o","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Qe1D5LeJ6o', 'expanded_url': 'https://twitter.com/i/web/status/1361903202116005890', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2021-02-17 00:00:02+00:00,"Here's a little love from us, to you. Yes, you. You know who you are. https://t.co/53eSj0QPoE","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1361627564213628929, 'id_str': '1361627564213628929', 'indices': [70, 93], 'media_url': 'http://pbs.twimg.com/media/EuV5dFBVoAAurJC.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EuV5dFBVoAAurJC.jpg', 'url': 'https://t.co/53eSj0QPoE', 'display_url': 'pic.twitter.com/53eSj0QPoE', 'expanded_url': 'https://twitter.com/NetflixMY/status/1361827709324787716/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}"
2021-02-16 15:00:03+00:00,This Malcolm &amp; Marie 11 facts &amp; 1 lie video gave us trust issues https://t.co/9NXpPNsbAi,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1361624172120535040, 'id_str': '1361624172120535040', 'indices': [73, 96], 'media_url': 'http://pbs.twimg.com/media/EuV2wdgVEAQi2xP.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EuV2wdgVEAQi2xP.jpg', 'url': 'https://t.co/9NXpPNsbAi', 'display_url': 'pic.twitter.com/9NXpPNsbAi', 'expanded_url': 'https://twitter.com/NetflixMY/status/1361691818388119561/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}"
2021-02-16 13:00:01+00:00,Kalau bercinta tak salah kenapa tak ada orang cinta Min? 🙃 https://t.co/k0qc13cZL8,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1361623505234583555, 'id_str': '1361623505234583555', 'indices': [59, 82], 'media_url': 'http://pbs.twimg.com/media/EuV1XSNUYAMZh-J.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EuV1XSNUYAMZh-J.jpg', 'url': 'https://t.co/k0qc13cZL8', 'display_url': 'pic.twitter.com/k0qc13cZL8', 'expanded_url': 'https://twitter.com/NetflixMY/status/1361661610314653699/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}"
2021-02-16 12:00:02+00:00,"A Message from Mr. Ha Se-yo: New week, new stress — don’t forget to step back and take a deeeeeeeeeeeeeeeep breath… https://t.co/M6zrdCeROq","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/M6zrdCeROq', 'expanded_url': 'https://twitter.com/i/web/status/1361646515656134658', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}"
2021-02-16 11:00:00+00:00,To All The Boys: #AlwaysAndForever baru keluar Jumaat lepas tapi Min dah rindu dengan Lara Jean dan Peter Kavinsky… https://t.co/rTQQGLmYl4,"{'hashtags': [{'text': 'AlwaysAndForever', 'indices': [17, 34]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/rTQQGLmYl4', 'expanded_url': 'https://twitter.com/i/web/status/1361631410759557123', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}"
2021-02-16 10:29:36+00:00,@hafixx___ Konfem takkan lupa 🙏,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'hafixx___', 'name': 'mohd hafiz', 'id': 1241703630320746503, 'id_str': '1241703630320746503', 'indices': [0, 10]}], 'urls': []}"
